analysis_id,drug_name,delta_nll_plugin_vs_elasticnet,delta_coverage_error_plugin_vs_elasticnet,delta_nll_plugin_vs_pca_gaussian,delta_coverage_error_plugin_vs_pca_gaussian,delta_nll_plugin_vs_pca_mdn,delta_coverage_error_plugin_vs_pca_mdn
GDSC1::1001::AICA Ribonucleotide,AICA Ribonucleotide,-0.0065492568358818115,-0.015384615384615379,-0.0025202377540480825,0.021538461538461562,-0.006456343571549006,-0.003296703296703299
GDSC1::1004::Vinblastine,Vinblastine,0.031520799273657474,-0.012459016393442615,0.00416000420285334,0.024918032786885265,0.03836278502778745,0.027322404371584723
GDSC1::1005::Cisplatin,Cisplatin,0.04510752607227797,-0.022295081967213158,0.0061950957375707105,0.0015300546448087024,-0.002004684011270186,0.008743169398907125
GDSC1::1006::Cytarabine,Cytarabine,-0.06257829301950979,-0.07270718232044197,0.016189976754493296,0.024309392265193366,0.029465151184767002,0.013259668508287303
GDSC1::1007::Docetaxel,Docetaxel,0.07196316703601369,-0.017267759562841538,0.0051923082938192255,0.016393442622950824,0.0015635385571428628,0.010273224043715883
GDSC1::1008::Methotrexate,Methotrexate,0.029008299571430474,-0.00983606557377048,0.030458169484300912,0.02907103825136618,0.05545175152649051,0.019016393442622938
GDSC1::1009::Tretinoin,Tretinoin,-0.04846055352479128,0.003977900552486202,-0.024264539105375738,0.015690607734806683,0.045354242415277524,0.01723756906077348
GDSC1::1010::Gefitinib,Gefitinib,-0.03459328812225637,0.0008791208791208427,-0.03440055238174944,0.0006593406593406216,0.018835553506757696,0.006593406593406601
GDSC1::1011::Navitoclax,Navitoclax,-0.006676909165514555,0.007692307692307703,-0.02197969128888344,0.01780219780219782,0.05857673997752788,0.015384615384615424
GDSC1::1012::Vorinostat,Vorinostat,-0.023479755672200175,-0.013989071038251363,-0.01843868285784156,0.008087431693989119,0.02044885284232989,-0.008087431693989056
GDSC1::1013::Nilotinib,Nilotinib,-0.21864031450301558,0.0161748633879782,-0.1738845466627541,-0.014644808743169362,0.07997070132900519,0.0157377049180328
GDSC1::1014::Refametinib,Refametinib,-0.03828772491014898,-0.009385474860335197,-0.005802782502700721,0.014972067039106161,0.03108692294993065,0.01564245810055866
GDSC1::1015::CI-1040,CI-1040,-0.019115138436745616,-0.024444444444444456,0.0006780735498541635,0.00666666666666664,-0.0011381301490542839,-0.005555555555555581
GDSC1::1016::Temsirolimus,Temsirolimus,-0.00886111624960173,-0.045555555555555516,0.00810050630477388,0.011111111111111158,0.024957574579976383,-0.0011111111111110628
GDSC1::1017::Olaparib,Olaparib,-0.0049312159355765495,-0.036502732240437166,-0.006123983078628159,0.0056830601092896435,0.036022368362735424,0.01355191256830604
GDSC1::1018::Veliparib,Veliparib,-0.006846794731924399,0.012459016393442605,-0.006734507058446804,0.017049180327868823,0.01554647403328524,0.006775956284153027
GDSC1::1019::Bosutinib,Bosutinib,-0.005396788170766387,-0.06557377049180324,0.02378329775224719,0.007431693989071078,0.008982201103089338,-0.0028415300546447975
GDSC1::1020::Lenalidomide,Lenalidomide,0.002594721325771099,-0.010928961748633902,0.02213412451914265,-0.002404371584699444,0.0017065899474375534,-0.014644808743169379
GDSC1::1021::Axitinib,Axitinib,0.0328547823344878,0.0186813186813187,0.036783422274841326,0.012307692307692367,0.01619082596362076,0.017582417582417645
GDSC1::1022::AZD7762,AZD7762,0.018532889282807163,0.008524590163934406,0.0025291352642067277,0.0104918032786885,0.016735922987863194,0.016174863387978106
GDSC1::1023::GW441756,GW441756,-0.06677649122514939,0.02557377049180328,-0.05254209577245672,0.025573770491803278,0.0163219676453652,0.016393442622950796
GDSC1::1024::Lestaurtinib,Lestaurtinib,0.01876840805590807,-0.020000000000000018,0.03209197697091537,0.014285714285714256,0.02241720012496984,0.011428571428571413
GDSC1::1025::SB216763,SB216763,0.008175143281680564,0.021818181818181785,0.001846355312883352,0.030303030303030287,0.03178192936946056,0.023030303030302984
GDSC1::1026::Tanespimycin,Tanespimycin,0.09996092042778848,-0.022295081967213144,0.02243910715389319,0.02010928961748632,0.020353645080734895,-0.005901639344262313
