path,drug_name,analysis_id,source,drug_id,analysis_unit,n_matched,response_sd,eligible
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1862_mg_132.npz,MG-132,GDSC2::1862::MG-132,GDSC2,1862,source_drug,941,0.7245046410336559,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1060_pd0325901.npz,PD0325901,GDSC2::1060::PD0325901,GDSC2,1060,source_drug,940,2.136987196963584,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1003_camptothecin.npz,Camptothecin,GDSC2::1003::Camptothecin,GDSC2,1003,source_drug,940,1.8358213283348939,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1047_nutlin_3a.npz,Nutlin-3a (-),GDSC2::1047::Nutlin-3a (-),GDSC2,1047,source_drug,940,1.7898211130651358,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1073_5_fluorouracil.npz,5-Fluorouracil,GDSC2::1073::5-Fluorouracil,GDSC2,1073,source_drug,940,1.7160514766472568,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1054_palbociclib.npz,Palbociclib,GDSC2::1054::Palbociclib,GDSC2,1054,source_drug,940,1.5676982363707803,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1053_mk_2206.npz,MK-2206,GDSC2::1053::MK-2206,GDSC2,1053,source_drug,940,1.4778207611228498,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1034_staurosporine.npz,Staurosporine,GDSC2::1034::Staurosporine,GDSC2,1034,source_drug,940,1.3805624210029146,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1011_navitoclax.npz,Navitoclax,GDSC2::1011::Navitoclax,GDSC2,1011,source_drug,939,1.9965128064284592,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1089_oxaliplatin.npz,Oxaliplatin,GDSC2::1089::Oxaliplatin,GDSC2,1089,source_drug,939,1.738589907126022,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1007_docetaxel.npz,Docetaxel,GDSC2::1007::Docetaxel,GDSC2,1007,source_drug,939,1.5677843938404619,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1179_mk_1775.npz,MK-1775,GDSC2::1179::MK-1775,GDSC2,1179,source_drug,939,1.4100361044708263,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1049_pd173074.npz,PD173074,GDSC2::1049::PD173074,GDSC2,1049,source_drug,939,1.406221404032205,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1510_linsitinib.npz,Linsitinib,GDSC2::1510::Linsitinib,GDSC2,1510,source_drug,939,1.314093641488446,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1017_olaparib.npz,Olaparib,GDSC2::1017::Olaparib,GDSC2,1017,source_drug,939,1.2834468338646223,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1058_pictilisib.npz,Pictilisib,GDSC2::1058::Pictilisib,GDSC2,1058,source_drug,939,1.259382609811062,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1372_trametinib.npz,Trametinib,GDSC2::1372::Trametinib,GDSC2,1372,source_drug,938,2.2600360968025934,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1549_sapitinib.npz,Sapitinib,GDSC2::1549::Sapitinib,GDSC2,1549,source_drug,938,1.7586531140633346,True
/Users/mycomputer/Documents/New project/real_app_gdsc/data/processed/gdsc_gdsc2_1561_taselisib.npz,Taselisib,GDSC2::1561::Taselisib,GDSC2,1561,source_drug,938,1.6932309690084106,True
